StreetName,StreetType,PostDirection
ACME,ALY,
ACORN,ALY,
ALERT,ALY,
AMITY,ALY,
ANGELOS,ALY,
ANGLO,ALY,
ARGENT,ALY,
ATTRIDGE,ALY,
AUGUST,ALY,
AVOCA,ALY,
BAXTER,ALY,
BENGAL,ALY,
BERGEN,ALY,
BOB KAUFMAN,ALY,
BRANT,ALY,
CARD,ALY,
CLARION,ALY,
COOPER,ALY,
COPPER,ALY,
CUBA,ALY,
DECKER,ALY,
DICHA,ALY,
DIXIE,ALY,
DORIC,ALY,
DRUMMOND,ALY,
DUNCOMBE,ALY,
DUNNES,ALY,
ELIM,ALY,
FISHER,ALY,
GATUN,ALY,
GERKE,ALY,
GLOBE,ALY,
HARLEM,ALY,
HOBART,ALY,
HODGES,ALY,
HOOKER,ALY,
HULBERT,ALY,
ICEHOUSE,ALY,
IMPERIAL,ALY,
IRON,ALY,
JACK KEROUAC,ALY,
JACK LONDON,ALY,
JACK MICHELINE,ALY,
JEROME,ALY,
KENNY,ALY,
KEYES,ALY,
LASSEN,ALY,
LUDLOW,ALY,
LULU,ALY,
MABEL,ALY,
MALDEN,ALY,
MORGAN,ALY,
MULFORD,ALY,
NOBLES,ALY,
OPHIR,ALY,
ORANGE,ALY,
OSAGE,ALY,
OSCAR,ALY,
PARKHURST,ALY,
PINK,ALY,
PINO,ALY,
REDFIELD,ALY,
ROCK,ALY,
ROSS,ALY,
SAINT GEORGE,ALY,
SAINT LOUIS,ALY,
SCHOOL,ALY,
SCOTT,ALY,
SHAW,ALY,
SLOAN,ALY,
TRADER VIC,ALY,
TROY,ALY,
TULIP,ALY,
TUSCANY,ALY,
VENARD,ALY,
WAGNER,ALY,
WALDO,ALY,
02ND,AVE,
03RD,AVE,
04TH,AVE,
05TH,AVE,
06TH,AVE,
06TH HP,AVE,
07TH,AVE,
08TH,AVE,
09TH,AVE,
10TH,AVE,
11TH,AVE,
12TH,AVE,
14TH,AVE,
15TH,AVE,
16TH,AVE,
17TH,AVE,
18TH,AVE,
19TH,AVE,
20TH,AVE,
21ST,AVE,
22ND,AVE,
23RD,AVE,
24TH,AVE,
25TH,AVE,
26TH,AVE,
27TH,AVE,
28TH,AVE,
29TH,AVE,
30TH,AVE,
31ST,AVE,
32ND,AVE,
33RD,AVE,
34TH,AVE,
35TH,AVE,
36TH,AVE,
37TH,AVE,
38TH,AVE,
39TH,AVE,
40TH,AVE,
41ST,AVE,
42ND,AVE,
43RD,AVE,
44TH,AVE,
45TH,AVE,
46TH,AVE,
47TH,AVE,
48TH,AVE,
ACACIA,AVE,
ACEVEDO,AVE,
ADMIRAL,AVE,
AGNON,AVE,
ALOHA,AVE,
ALTON,AVE,
AMAZON,AVE,
ANZA,AVE,
ANZAVISTA,AVE,
APPLETON,AVE,
APTOS,AVE,
ARELLANO,AVE,
ARGONAUT,AVE,
ARLETA,AVE,
ARMSTRONG,AVE,
ARNOLD,AVE,
ARTHUR,AVE,
ASHTON,AVE,
AVALON,AVE,
BALCETA,AVE,
BANCROFT,AVE,
BARCELONA,AVE,
BARNARD,AVE,
BARNEVELD,AVE,
BEAUMONT,AVE,
BEHR,AVE,
BELGRAVE,AVE,
BELLE,AVE,
BELLEVUE,AVE,
BELMONT,AVE,
BENTON,AVE,
BIGLER,AVE,
BITTING,AVE,
BLANKEN,AVE,
BLYTHDALE,AVE,
BRAZIL,AVE,
BRENTWOOD,AVE,
BRIGHTON,AVE,
BROMPTON,AVE,
BROOKDALE,AVE,
BRUCE,AVE,
BURKE,AVE,
BURNETT,AVE,
BURNSIDE,AVE,
BURR,AVE,
CAINE,AVE,
CALIFORNIA,AVE,
CAMELLIA,AVE,
CAMPBELL,AVE,
CAPISTRANO,AVE,
CAPITOL,AVE,
CARDENAS,AVE,
CARROLL,AVE,
CASELLI,AVE,
CASITAS,AVE,
CASTELO,AVE,
CASTENADA,AVE,
CASTLE MANOR,AVE,
CAYUGA,AVE,
CECILIA,AVE,
CEDRO,AVE,
CENTRAL,AVE,
CERRITOS,AVE,
CHARTER OAK,AVE,
CHAVES,AVE,
CHESTER,AVE,
CHILTON,AVE,
CIRCULAR,AVE,
CLARENDON,AVE,
CLEO RAND,AVE,
COLLEGE,AVE,
COLON,AVE,
COLUMBUS,AVE,
COMMONWEALTH,AVE,
CORBETT,AVE,
CORTES,AVE,
CORTLAND,AVE,
COSO,AVE,
CRAGMONT,AVE,
CRESCENT,AVE,
CRISSY FIELD,AVE,
CUSTER,AVE,
CUTLER,AVE,
DAVIDSON,AVE,
DE MONTFORT,AVE,
DEL SUR,AVE,
DEL VALE,AVE,
DELANO,AVE,
DELLBROOK,AVE,
DIAZ,AVE,
DONNER,AVE,
DORANTES,AVE,
DORMAN,AVE,
DUBOCE,AVE,
EDGAR,AVE,
EDGEWOOD,AVE,
EGBERT,AVE,
ELLINGTON,AVE,
ENCANTO,AVE,
ESCONDIDO,AVE,
ESMERALDA,AVE,
ESTERO,AVE,
EUCLID,AVE,
EUGENIA,AVE,
EVANS,AVE,
EXCELSIOR,AVE,
FAIR,AVE,
FAIRFAX,AVE,
FARRAGUT,AVE,
FAXON,AVE,
FELIX,AVE,
FISHER,AVE,
FITZGERALD,AVE,
FLOOD,AVE,
FLORENTINE,AVE,
FOOTE,AVE,
FOREST SIDE,AVE,
FORTUNA,AVE,
FOWLER,AVE,
FRANCE,AVE,
FUENTE,AVE,
FUNSTON,AVE,
GALINDO,AVE,
GALVEZ,AVE,
GARCIA,AVE,
GARRISON,AVE,
